transaction_mismatch,fee_ratio,success_rate,gas_efficiency,block_sync_ratio,fee_inconsistency,cross_chain_disparity,gas_usage_anomaly,bug_detected,anomaly_score
43812246980005.17,-235.7922071135509,0.2256378143646313,-0.008031614266526,-0.2862903342187812,0.7328234826064947,43812246980009.35,-0.4388356642735632,1,6
5066794030608.476,-262.892567939853,0.2229791969529275,1.043264201647412e-05,-0.2863171772752527,0.1212976684577064,5066794030613.148,-0.4864508146845331,1,6
7312170921531.377,-248.97067277135545,0.2264816278513611,-1.043264201647412e-05,-0.2863166839150743,-0.0694739526464939,7312170921535.802,-0.4829190331229091,1,6
0.0,0.4285427388279583,-0.0633240076936914,0.2048724102747711,-0.1900546533267153,2.0175662341066265,0.0,2.753993521459974e-12,1,3
0.0,-0.0730826397461325,0.0432145435100712,0.1341491070641415,0.4733768426867504,1.2753023743340686,0.0,2.736884399609087e-12,1,3
0.0,0.6676372235668844,0.1592217260805516,0.1245862085241371,0.0068285892823691,3.899701028536898,0.0,3.0530437185174908e-12,1,3
0.0,0.6411622561664385,0.203875253396456,0.0287670812620201,0.7170839161699736,3.690896653474737,0.0,2.9833132639151374e-13,1,3
0.0,-0.865049774728533,-0.7790169468013164,-0.8831333814110038,-0.2863221743190896,-0.3149537360565341,0.0,-0.9999999999981012,0,2
0.0,0.1939491900780416,-0.131674506920237,0.1920566782878644,0.0793259468617067,0.1786456647652612,0.0,2.9813004260503268e-12,0,2
0.0,-0.865049774728533,-0.7790169468013164,-0.8831333814110038,-0.2863221743190896,-0.3149537360565341,0.0,-0.9999999999981012,0,2
0.0,-0.865049774728533,-0.7790169468013164,-0.8831333814110038,-0.2863221743190896,-0.3149537360565341,0.0,-0.9999999999981012,0,2
0.0,-0.865049774728533,-0.7790169468013164,-0.8831333814110038,-0.2863221743190896,-0.3149537360565341,0.0,-0.9999999999981012,0,2
0.0,-0.865049774728533,-0.7790169468013164,-0.8831333814110038,-0.2863221743190896,-0.3149537360565341,0.0,-0.9999999999981012,0,2
0.0,-0.865049774728533,-0.7790169468013164,-0.8831333814110038,-0.2863221743190896,-0.3149537360565341,0.0,-0.9999999999981012,0,2
0.0,-0.865049774728533,-0.7790169468013164,-0.8831333814110038,-0.2863221743190896,-0.3149537360565341,0.0,-0.9999999999981012,0,2
0.0,-0.865049774728533,-0.7790169468013164,-0.8831333814110038,-0.2863221743190896,-0.3149537360565341,0.0,-0.9999999999981012,0,2
0.0,-0.865049774728533,-0.7790169468013164,-0.8831333814110038,-0.2863221743190896,-0.3149537360565341,0.0,-0.9999999999981012,0,2
0.0,-0.865049774728533,-0.7790169468013164,-0.8831333814110038,-0.2863221743190896,-0.3149537360565341,0.0,-0.9999999999981012,0,2
0.0,0.1184359910867878,0.041759304516823,0.1875013301528799,0.0302323005673171,-0.2182587221404266,0.0,2.882527596541426e-12,0,2
0.0,-0.865049774728533,-0.7790169468013164,-0.8831333814110038,-0.2863221743190896,-0.3149537360565341,0.0,-0.9999999999981012,0,2
0.0,-0.865049774728533,-0.7790169468013164,-0.8831333814110038,-0.2863221743190896,-0.3149537360565341,0.0,-0.9999999999981012,0,2
0.0,-0.865049774728533,-0.7790169468013164,-0.8831333814110038,-0.2863221743190896,-0.3149537360565341,0.0,-0.9999999999981012,0,2
0.0,-0.865049774728533,-0.7790169468013164,-0.8831333814110038,-0.2863221743190896,-0.3149537360565341,0.0,-0.9999999999981012,0,2
0.0,-0.865049774728533,-0.7790169468013164,-0.8831333814110038,-0.2863221743190896,-0.3149537360565341,0.0,-0.9999999999981012,0,2
0.0,-0.865049774728533,-0.7790169468013164,-0.8831333814110038,-0.2863221743190896,-0.3149537360565341,0.0,-0.9999999999981012,0,2
0.0,-0.865049774728533,-0.7790169468013164,-0.8831333814110038,-0.2863221743190896,-0.3149537360565341,0.0,-0.9999999999981012,0,2
0.0,-0.0022418400929639,0.0273331071005015,0.1841615266373737,-0.0068285892823691,0.7234436150281006,0.0,2.9329923172948818e-12,0,2
0.0,0.2636404167366714,0.2216285781661523,-0.001465889173984,0.7455195074227067,0.7241348937642218,0.0,-7.602776163654577e-13,0,2
0.0,0.004009692597837,-0.0163434416900181,0.17605874769867,0.01250586255037,0.6747099038106986,0.0,2.818691881400302e-12,0,2
0.0,-0.0622056998808726,0.0080376827980306,0.2148141913944191,-0.1411414983789962,1.190614937531754,0.0,2.7738343518416746e-12,0,2
0.0,0.2834931445317056,0.2255117040094134,-0.0031089623838865,0.6477916473527252,0.8796508558170139,0.0,-2.49304346970065e-13,0,2
0.0,0.126005322058808,0.2386473821658163,0.0134193361769399,0.7026500778710772,-0.2773931189426317,0.0,-4.62952708906349e-14,0,2
0.0,0.128234956197827,0.2297467711198442,0.0197373693411042,0.7786916291668546,-0.2948133625995537,0.0,4.643904502383563e-14,0,2
0.0,0.2289539773985477,0.2187554156677576,0.0267024375791162,0.7809778528913484,0.4525514329105727,0.0,1.4291148840152513e-13,0,2
0.0,0.215398345047373,0.2133163557710369,0.0484825305857403,0.1888732554212353,0.3464609155563626,0.0,3.499462402105757e-13,0,2
0.0,0.300369248910274,0.2225284333704356,0.0280925348563091,0.7868957812882433,1.0118927951384034,0.0,4.679848035683746e-13,0,2
0.0,0.1354702372955495,0.2225418608155967,0.0181711730347293,0.7737964850677594,-0.278559723586446,0.0,5.82572787729356e-13,0,2
0.0,0.2217165750441225,0.2190464782962773,-0.001530869809107,0.7739168126322065,0.3959061215723399,0.0,1.15881951359788e-12,0,2
