transaction_mismatch,fee_ratio,success_rate,log_cosmos_total_gas_used,log_evm_gas_growth,cosmos_new_block,evm_new_block,gas_efficiency,block_sync_ratio,fee_inconsistency,cross_chain_disparity,gas_usage_anomaly
0.0,0.26364041673667143,0.22162857816615236,0.0,-1.084344512599902e-12,0.0,0.6815883814090672,-0.0014658891739840326,0.7455195074227067,0.7241348937642218,0.0,-7.602776163654577e-13
0.0,0.3115162168786404,0.2293874659002451,0.0,-8.248322021725852e-13,0.0,0.6418289242360256,-0.004979391392805672,0.7052261816371933,1.0992627822769978,0.0,-5.007653059381409e-13
0.0,0.28349314453170565,0.22551170400941348,0.0,-5.733712432045093e-13,0.0,0.585155371938739,-0.0031089623838865903,0.6477916473527252,0.8796508558170139,0.0,-2.49304346970065e-13
0.0,0.126005322058808,0.23864738216581635,0.0,-3.703621671250792e-13,0.0,0.6392869526969319,0.013419336176939996,0.7026500778710772,-0.27739311894263174,0.0,-4.62952708906349e-14
0.0,0.12823495619782704,0.22974677111984426,0.0,-2.776278512106087e-13,0.0,0.7143209873211749,0.0197373693411042,0.7786916291668546,-0.29481336259955376,0.0,4.643904502383563e-14
0.0,0.22895397739854778,0.2187554156677576,0.0,-1.8115540783291919e-13,0.0,0.7165769196000308,0.026702437579116233,0.7809778528913484,0.45255143291057276,0.0,1.4291148840152513e-13
0.0,0.6411622561664385,0.20387525339645604,0.0,-2.5735569842930582e-14,0.0,0.6535295490699001,0.028767081262020166,0.7170839161699736,3.6908966534747365,0.0,2.9833132639151374e-13
0.0,0.21539834504737304,0.21331635577103694,0.0,2.5879343976131313e-14,0.0,0.13231744421222494,0.048482530585740355,0.18887325542123534,0.34646091555636266,0.0,3.4994624021057564e-13
0.0,0.30036924891027406,0.2225284333704356,0.0,1.4391790733393023e-13,0.0,0.7224164380826195,0.028092534856309196,0.7868957812882433,1.0118927951384034,0.0,4.679848035683746e-13
0.0,0.1354702372955495,0.2225418608155967,0.0,2.5850589149491166e-13,0.0,0.7094907017001796,0.018171173034729326,0.7737964850677594,-0.27855972358644604,0.0,5.82572787729356e-13
43812246980005.164,-235.7922071135509,0.22563781436463134,21.687593345264723,3.741002945882982e-13,32076.0,0.6712208074672438,-0.008031614266526092,-0.2862903342187812,0.7328234826064947,43812246980009.35,-0.4388356642735632
5066794030608.476,-262.892567939853,0.22297919695292756,24.040770407338048,5.203185880534401e-13,207735.0,0.6877301300534164,1.043264201647412e-05,-0.28631717727525274,0.12129766845770644,5066794030613.148,-0.48645081468453316
7312170921531.377,-248.97067277135545,0.22648162785136114,23.866227067939114,6.599232713913485e-13,185189.0,0.6667143398767063,-1.043264201647412e-05,-0.2863166839150743,-0.06947395264649397,7312170921535.802,-0.4829190331229091
0.0,0.22171657504412254,0.21904647829627738,0.0,8.347526173634355e-13,0.0,0.7096094349780141,-0.0015308698091070485,0.7739168126322065,0.39590612157233995,0.0,1.15881951359788e-12
0.0,0.029555217269482965,0.23949047414643812,0.0,8.573251562759501e-13,0.0,-0.18976276281543586,0.03257945112667033,-0.13753167144558529,0.4755137557051356,0.0,1.1813920525103945e-12
0.0,0.1837112878558511,0.2287681535509807,0.0,9.522160841884316e-13,0.0,0.3026133464299737,0.008951471219170538,0.3614557994467667,0.09856834770719505,0.0,1.276282980422876e-12
0.0,0.06385529933298635,0.2357826852568014,0.0,1.1442983261446062e-12,0.0,0.6348506456796603,-0.022984213795329056,0.6981542025085562,0.20790950380192838,0.0,1.4683652223790506e-12
0.0,0.1333901891992198,0.15761322706779932,0.0,1.2913792644089526e-12,0.0,0.6533352582516255,0.06675032720010396,0.7168870165190603,-0.29481336259955376,0.0,1.615446160643397e-12
0.0,0.055726517961709895,-0.028408843810477525,0.0,1.4398979440053062e-12,0.0,0.7071052422091406,0.13331556640290207,0.7713789949093236,0.27134387357375783,0.0,1.7639648402397505e-12
0.0,0.07062764522092732,0.019276345630300055,0.0,1.6194718363730173e-12,0.0,0.6963760714666393,0.12132422132542815,0.7605057586311099,0.15505329390869357,0.0,1.9435387326074614e-12
0.0,0.08159099761926553,-0.009147919099073353,0.0,1.7773358346274182e-12,0.0,0.6765961867728431,0.1311079724035446,0.7404602802811836,0.06947395264649392,0.0,2.1014027308618625e-12
0.0,0.0022418400929638746,-0.021263288955811557,0.0,1.9271484814225783e-12,0.0,0.6489906996763168,0.1378937664621484,0.7124841215472484,0.6884917173210551,0.0,2.251215377657023e-12
0.0,-0.002765311131717001,0.05427651668695354,0.0,2.1189431751123516e-12,0.0,0.6505612171240371,0.1034938103797,0.7140757270587977,0.7275240776429784,0.0,2.4430100713467958e-12
0.0,0.10527540857909665,-0.008037682798030523,0.0,2.279251333631165e-12,0.0,0.6789006917562675,0.13607311661925608,0.7427957289184056,-0.11546241414424055,0.0,2.6033182298656093e-12
0.0,-0.0730826397461325,0.043214543510071236,0.0,2.412817503374643e-12,0.0,0.413051485717601,0.13414910706414154,0.47337684268675045,1.2753023743340686,0.0,2.736884399609087e-12
0.0,0.4285427388279583,-0.06332400769369147,0.0,2.4299266252255295e-12,0.0,-0.24158983859020425,0.20487241027477118,-0.1900546533267153,2.0175662341066265,0.0,2.753993521459974e-12
0.0,-0.06220569988087268,0.008037682798030639,0.0,2.44976745560723e-12,0.0,-0.19332476115047148,0.2148141913944191,-0.14114149837899628,1.190614937531754,0.0,2.7738343518416746e-12
0.0,0.004009692597837076,-0.016343441690018185,0.0,2.4946249851658576e-12,0.0,-0.04171315929013691,0.17605874769867,0.012505862550370075,0.6747099038106986,0.0,2.818691881400302e-12
